source,target,weight
Leumeah Station,Campbelltown Station,1264
Leumeah Station,Minto Station,1253
Campbelltown Station,Macarthur Station,2954
Campbelltown Station,Leumeah Station,1253
Campbelltown Station,Central Station,2
Campbelltown Station,Glenfield Station,117
Macarthur Station,Campbelltown Station,3052
Macarthur Station,Menangle Park Station,1756
Berala Station,Regents Park Station,1189
Berala Station,Lidcombe Station,1177
Regents Park Station,Sefton Station,667
Regents Park Station,Berala Station,1177
Regents Park Station,Birrong Station,522
Sefton Station,Chester Hill Station,667
Sefton Station,Regents Park Station,660
Chester Hill Station,Leightonfield Station,667
Chester Hill Station,Sefton Station,660
Leightonfield Station,Villawood Station,667
Leightonfield Station,Chester Hill Station,660
Villawood Station,Carramar Station,667
Villawood Station,Leightonfield Station,660
Carramar Station,Cabramatta Station,667
Carramar Station,Villawood Station,660
Cabramatta Station,Warwick Farm Station,2285
Cabramatta Station,Carramar Station,660
Cabramatta Station,Canley Vale Station,1617
Cabramatta Station,Fairfield Station,2
Warwick Farm Station,Liverpool Station,2285
Warwick Farm Station,Cabramatta Station,2277
Liverpool Station,Warwick Farm Station,2277
Liverpool Station,Casula Station,1504
Liverpool Station,Cabramatta Station,2
Merrylands Station,Guildford Station,1785
Merrylands Station,Granville Station,1205
Merrylands Station,Harris Park Station,576
Guildford Station,Yennora Station,1785
Guildford Station,Merrylands Station,1781
Yennora Station,Fairfield Station,1785
Yennora Station,Guildford Station,1781
Fairfield Station,Canley Vale Station,1618
Fairfield Station,Yennora Station,1781
Fairfield Station,Granville Station,2
Canley Vale Station,Cabramatta Station,1618
Canley Vale Station,Fairfield Station,1617
Casula Station,Glenfield Station,1504
Casula Station,Liverpool Station,1510
Edmondson Park Station,Leppington Station,1645
Edmondson Park Station,Glenfield Station,1652
Leppington Station,Edmondson Park Station,1652
Gordon Station,Killara Station,2363
Gordon Station,Pymble Station,1667
Gordon Station,Turramurra Station,38
Gordon Station,Hornsby Station,47
Gordon Station,Chatswood Station,131
Killara Station,Lindfield Station,2363
Killara Station,Gordon Station,2366
Lindfield Station,Roseville Station,2707
Lindfield Station,Killara Station,2366
Roseville Station,Chatswood Station,2707
Roseville Station,Lindfield Station,2713
Chatswood Station,Artarmon Station,2838
Chatswood Station,Roseville Station,2713
Chatswood Station,Gordon Station,160
Artarmon Station,St Leonards Station,2838
Artarmon Station,Chatswood Station,2882
St Leonards Station,Wollstonecraft Station,2838
St Leonards Station,Artarmon Station,2882
Wollstonecraft Station,Waverton Station,2838
Wollstonecraft Station,St Leonards Station,2882
Waverton Station,North Sydney Station,2838
Waverton Station,Wollstonecraft Station,2882
North Sydney Station,Milsons Point Station,3292
North Sydney Station,Waverton Station,2882
Milsons Point Station,Wynyard Station,3292
Milsons Point Station,North Sydney Station,3356
Hornsby Station,Waitara Station,1678
Hornsby Station,Normanhurst Station,1383
Hornsby Station,Asquith Station,982
Hornsby Station,Epping Station,769
Hornsby Station,Woy Woy Station,361
Hornsby Station,Berowra Station,415
Hornsby Station,Gordon Station,45
Waitara Station,Wahroonga Station,1678
Waitara Station,Hornsby Station,1705
Wahroonga Station,Warrawee Station,1678
Wahroonga Station,Waitara Station,1667
Warrawee Station,Turramurra Station,1678
Warrawee Station,Wahroonga Station,1667
Turramurra Station,Pymble Station,1678
Turramurra Station,Warrawee Station,1667
Turramurra Station,Waitara Station,38
Pymble Station,Gordon Station,1678
Pymble Station,Turramurra Station,1667
North Strathfield Station,Concord West Station,1381
North Strathfield Station,Strathfield Station,1388
Concord West Station,Rhodes Station,1381
Concord West Station,North Strathfield Station,1388
Rhodes Station,Meadowbank Station,1505
Rhodes Station,Strathfield Station,179
Rhodes Station,West Ryde Station,47
Rhodes Station,Concord West Station,1388
Meadowbank Station,West Ryde Station,1505
Meadowbank Station,Rhodes Station,1469
West Ryde Station,Denistone Station,1381
West Ryde Station,Meadowbank Station,1469
West Ryde Station,Eastwood Station,171
West Ryde Station,Rhodes Station,98
Denistone Station,Eastwood Station,1381
Denistone Station,West Ryde Station,1388
Eastwood Station,Epping Station,1541
Eastwood Station,West Ryde Station,179
Eastwood Station,Denistone Station,1388
Epping Station,Cheltenham Station,1402
Epping Station,Eastwood Station,1567
